tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country,avg_health_exp_country,health_exp_category_country,avg_hdi_country,hdi_category_country,avg_hours_worked,life_satisfaction_score_country,happiness_ci_upper_country,happiness_ci_lower_country,gdp_log_country,social_support_country,healthy_life_expectancy_country,freedom_life_choices_country,generosity_country,corruption_perception_country,residual_happiness_country,happiness_rank_country
Yes,No,I don't know,No,Yes,Yes,Possibly,5,27,Female,United Kingdom,10.761525918,Alto,0.9282,Muy alto,1494.2,7.007900047302246,7.131112529754639,6.982887627919514,1.5210203456878666,1.22094832420349,0.827566693464915,0.5673895524342853,0.334144480307897,0.319200548728307,2.26657399749756,16
Yes,Yes,No,No,Yes,Yes,Possibly,4,31,Male,United Kingdom,10.761525918,Alto,0.9282,Muy alto,1494.2,7.007900047302246,7.131112529754639,6.982887627919514,1.5210203456878666,1.22094832420349,0.827566693464915,0.5673895524342853,0.334144480307897,0.319200548728307,2.26657399749756,16
Yes,I don't know,No,Yes,Yes,No,Yes,5,36,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,22,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,No,No,Yes,Yes,Yes,8,36,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,No,No,No,Yes,No,3,38,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
No,Yes,No,Yes,Yes,Yes,Yes,2,40,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,I don't know,I don't know,No,No,Yes,Yes,10,35,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,I don't know,I don't know,No,No,Yes,Yes,3,22,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
No,Yes,I don't know,No,No,Yes,Yes,9,28,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
