country,avg_health_exp_country,avg_hdi_country,happiness_rank_country,life_satisfaction_score_country,gdp_log_country,social_support_country,healthy_life_expectancy_country,freedom_life_choices_country,generosity_country,corruption_perception_country
Australia,0.5191441704675923,0.9572368421052634,0.927007299270073,0.8561471567950756,0.8209763195080881,0.957512571106434,0.887473931087262,0.8911155710501577,0.5589923237183472,0.6470383984616098
Austria,0.562013939970173,0.8966165413533836,0.9343065693430657,0.858321702661567,0.8457116462974815,0.9212286499662391,0.8634668533893647,0.8364320294368837,0.4220292386301903,0.582128922007036
Brazil,0.47731019492966237,0.5258458646616545,0.7664233576642335,0.6330416777689496,0.4282701864425253,0.7973899945508234,0.4880267847237987,0.6113992025693776,0.25358765389834204,0.19670794593601026
Canada,0.6104421851357967,0.9276315789473688,0.927007299270073,0.8509313561640587,0.8117278022277715,0.9223946950903966,0.8923743132679379,0.8953998922828798,0.4747538923096683,0.6899896310372176
Colombia,0.36864900941104606,0.5300751879699248,0.656934306569343,0.562461544329822,0.41621405538859774,0.7095449570646024,0.6077706088286497,0.6689308599014041,0.17204613366534677,0.07524521397775517
Estonia,0.2901517022907895,0.8322368421052633,0.6496350364963503,0.5543788231643483,0.7135424871671338,0.960712100923083,0.6484887794671237,0.8644994258793612,0.22915923844712593,0.5081990506761278
Finland,0.4579162399433349,0.9445488721804512,1.0,1.0,0.8080416990098807,1.0,0.8140163945214743,0.9917223146992068,0.2457757432405263,1.0
France,0.6090579847975752,0.861842105263158,0.8467153284671532,0.7050578374120734,0.785181551286138,0.9585780881248258,0.9160946809457922,0.6627741184417587,0.16894431998662568,0.4590511219028402
Germany,0.6378449425991449,0.9671052631578952,0.8978102189781022,0.8123999864004078,0.8386017281623827,0.8361976428648346,0.8313002512749192,0.7548718098001185,0.3872313465870383,0.6324390275467545
Greece,0.40085929286288746,0.8228383458646615,0.4744525547445255,0.43371250435905523,0.6410403031243735,0.642487002795581,0.8364630165971332,0.0,0.0,0.10708145523057591
India,0.014526838492122801,0.23590225563909767,0.0,0.0,0.16958895712849759,0.0,0.1419269176753285,0.8251296637495171,0.4334584895588443,0.18048372376781216
Indonesia,0.020196747403011358,0.41259398496240607,0.36496350364963503,0.3477875226212844,0.3591175400704319,0.588606891582334,0.25854575582943956,0.780564985974498,1.0,0.03663519099909778
Ireland,0.2759749566106452,0.9520676691729326,0.8978102189781022,0.812548716042433,1.0,0.9466117923407906,0.8328868287065595,0.8046778814774725,0.46102143985667177,0.7563078995863336
Japan,0.5547772014656335,0.8970864661654137,0.5912408759124088,0.5270432460183226,0.7654274045972531,0.8048581899411256,1.0,0.6066440813587187,0.031049287746480442,0.36221530956087394
Kenya,0.09952524640686845,0.1452067669172932,0.12408759124087591,0.16810098596334047,0.0,0.26980245623275495,0.09707297049328326,0.5409713405752196,0.7001623822163396,0.1009660344098949
Mauritius,0.22026543916506944,0.6137218045112783,0.6277372262773723,0.5449677803817752,0.556945593531126,0.8591954931186356,0.459019236727516,0.7691952920948449,0.29668147021647046,0.14687597696596832
Mexico,0.19850338355350963,0.5502819548872181,0.7883211678832117,0.647165928405903,0.5118184671126306,0.6355072710822433,0.5727482979906994,0.7622678779001317,0.164054960348374,0.14690812670314218
Mongolia,0.14780205975758756,0.4868421052631579,0.4306569343065693,0.4066949163389204,0.37074770654969086,0.9435786192209392,0.2227600754413659,0.3379480346682088,0.4938583616907919,0.05591871815763735
Netherlands,0.5350153386263138,0.9473684210526319,0.9708029197080292,0.9171316700168528,0.8600790862928598,0.9545448775334808,0.8378557343872567,0.867955390309335,0.5819930303649017,0.7726777871078145
North Macedonia,0.30469221891452614,0.574718045112782,0.35766423357664234,0.33717895046799284,0.5623617731091366,0.4416924419059725,0.36752689836750774,0.5164669767127511,0.4070552263590375,0.0
Norway,0.5261085835438037,1.0,0.9708029197080292,0.9241117141180661,0.9177475831501261,0.9915509936209631,0.8753470446103097,1.0,0.4809076604911438,0.8883815876886183
Pakistan,0.0,0.0,0.3722627737226277,0.3535674627089623,0.061569153553229505,0.1475000617685474,0.0,0.42203239675298354,0.4208547977540604,0.17836404719390206
Philippines,0.12224290777123081,0.3937969924812031,0.5547445255474452,0.4908454057281813,0.25244136942270756,0.6525403695791004,0.23356198737790665,0.8953212081562895,0.22533497849604958,0.22562287348527935
Poland,0.24999917598598684,0.799342105263158,0.6934306569343066,0.5849710642486928,0.6835560392000147,0.8428671498149078,0.6717194888697393,0.6779951692536007,0.16423701820462783,0.24837403872734543
Portugal,0.4953524448995106,0.7640977443609024,0.5474452554744526,0.4915582885217762,0.6885654695938396,0.7993945753705254,0.8382529765128052,0.8361020895760488,0.05403776687001347,0.01431588898442654
Spain,0.4766087910286117,0.8543233082706768,0.7883211678832117,0.6491609502588903,0.7405956523325813,0.9309837225035557,0.9431774011624537,0.5067042584693107,0.2513951474853357,0.2144396094170132
Sweden,0.5679981660412347,0.9609962406015041,0.9562043795620438,0.891519295243288,0.8392614346840603,0.9350388032567726,0.8606963935238493,0.9708130986140688,0.46844077718047056,0.9357622499965488
Switzerland,0.5857310757786484,0.9938909774436089,0.9781021897810219,0.9352356980693692,0.9237205859773369,0.965923487903192,0.9389501399743972,0.900920842577706,0.39375077039560497,0.8507727901311333
United Kingdom,0.5494558271020882,0.9219924812030077,0.8905109489051095,0.8034095203258443,0.7886982898829472,0.9205955888149127,0.817386258005481,0.7220613463893745,0.6425898366261813,0.6212878157974556
United States of America,1.0,0.9191729323308271,0.8759124087591241,0.7832078503617251,0.8935490521243761,0.9023714879725266,0.5677928232120039,0.69450625931723,0.4914227479151373,0.28569191405997524
